,ID,Gender,Certificate,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19
82,4299,Male,IGCSE (British),4,3,4,5,4,5,5,3,5,4,5,4,4,4,4,4,5,5,5
83,4309,Male,IGCSE (British),5,5,5,5,5,1,3,5,1,1,5,1,1,4,5,5,5,5,5
84,4302,Female,IGCSE (British),4,5,4,5,4,4,4,5,2,2,3,3,5,4,5,4,5,2,2
85,4278,Male,American Diploma,3,3,2,4,2,1,1,2,1,1,2,1,3,1,4,2,4,4,3
86,4291,Male,American Diploma,3,4,4,3,3,4,2,1,1,3,5,1,1,3,4,2,5,5,5
87,4282K,Male,American Diploma,4,5,3,3,4,5,3,4,3,5,5,5,5,3,3,2,3,4,5
88,4293,Male,American Diploma,4,4,5,5,4,5,5,4,3,5,4,5,4,3,4,4,4,4,5
89,4443,Male,IGCSE (British),3,3,3,5,5,4,4,3,3,3,5,2,5,5,3,3,5,5,5
90,4327,Male,IGCSE (British),3,5,5,5,5,3,2,3,4,4,5,3,4,3,4,4,5,5,5
91,4330,Male,IGCSE (British),3,3,5,5,5,1,3,3,5,1,3,2,4,5,3,4,5,4,5
92,4337,Male,IGCSE (British),5,5,5,5,5,1,2,3,4,4,5,1,3,4,5,5,5,5,5
93,4343,Female,IGCSE (British),4,5,4,5,5,1,1,1,1,1,3,2,4,2,5,5,5,5,5
94,4328,Male,IGCSE (British),3,3,3,5,3,1,1,1,2,1,2,1,1,1,4,4,5,5,5
95,4324,Male,IGCSE (British),5,5,5,5,5,5,5,3,2,2,2,3,4,5,4,4,5,5,5
96,4348,Female,IGCSE (British),5,5,5,5,5,5,3,1,3,3,4,3,2,3,4,4,5,5,5
97,4338,Female,IGCSE (British),4,5,4,5,4,3,4,3,4,4,5,3,5,4,5,4,4,5,4
98,4332,Male,IGCSE (British),4,4,4,4,4,1,1,1,1,1,1,1,1,1,3,3,4,4,4
