"","ID","Gender","Certificate","Q01","Q02","Q03","Q04","Q05","Q06","Q07","Q08","Q09","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","sum"
"105","4357","Male","IGCSE (British)",4,5,5,4,5,5,5,3,5,5,5,5,5,5,3,2,5,5,5,296
"106","4373","Female","IGCSE (British)",5,5,5,5,5,4,4,3,3,3,4,3,3,2,3,2,3,4,3,281
"107","4359","Male","IGCSE (British)",4,3,3,5,5,2,2,3,2,2,3,2,3,1,4,3,5,5,4,275
"108","4352","Male","IGCSE (British)",5,4,4,5,5,3,2,2,3,1,5,5,4,4,3,3,5,4,4,287
"109","4362","Male","IGCSE (British)",3,4,4,5,4,2,2,2,1,1,3,2,4,4,4,4,3,3,3,276
"110","4363","Female","IGCSE (British)",5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,313
"111","4366","Female","IGCSE (British)",5,5,5,3,5,1,3,1,1,3,3,1,3,1,3,3,5,5,5,283
"112","4356","Male","IGCSE (British)",5,4,5,5,5,3,3,3,4,4,5,3,5,5,4,3,4,3,4,301
"113","4364","Female","IGCSE (British)",3,4,3,5,4,2,1,1,1,2,3,2,4,3,5,4,4,4,4,285
"114","4355","Male","IGCSE (British)",4,3,4,5,4,2,2,2,2,2,5,1,4,4,3,3,3,3,2,286
"115","4325","Male","IGCSE (British)",4,4,3,3,5,1,1,1,1,2,4,3,2,3,5,5,5,5,5,292
"116","4342","Female","IGCSE (British)",5,5,3,5,5,1,1,1,1,1,4,3,2,2,3,4,3,5,4,290
"117","4391","Male","IGCSE (British)",4,4,3,3,3,1,1,2,2,2,5,3,4,5,4,3,3,3,3,292
"118","4393","Female","IGCSE (British)",4,4,4,5,5,3,3,2,1,4,4,3,5,4,3,3,3,4,4,304
"119","4390","Male","IGCSE (British)",4,5,5,3,5,2,2,1,1,1,5,3,1,3,4,5,5,4,5,302
"120","4385","Male","IGCSE (British)",4,3,4,5,5,5,5,5,5,5,5,5,5,5,4,3,3,3,3,322
"121","4384","Female","IGCSE (British)",5,5,5,5,5,3,2,2,1,1,3,2,3,1,5,5,5,5,5,310
"122","4392","Female","IGCSE (British)",4,5,5,5,5,5,4,4,3,3,4,1,5,4,4,4,5,5,4,323
"123","4380","Female","IGCSE (British)",4,5,4,5,5,4,4,3,3,3,4,1,5,5,5,5,5,5,5,326
"124","4386","Male","IGCSE (British)",5,5,5,5,5,3,2,1,1,1,2,2,1,1,4,3,5,5,5,309
"125","4394","Female","IGCSE (British)",5,5,5,5,5,3,4,3,2,2,4,3,5,3,5,5,5,5,5,329
"126","4383","Male","IGCSE (British)",5,5,5,5,5,1,5,1,3,3,1,1,1,3,3,2,5,5,5,316
"127","4382","Female","IGCSE (British)",5,4,3,5,4,5,5,4,2,4,4,5,2,5,2,3,5,5,3,329
"128","4379","Female","IGCSE (British)",4,3,4,5,4,2,2,3,3,3,3,3,3,4,4,5,5,5,5,326
"129","4376","Male","IGCSE (British)",5,5,5,5,5,3,3,3,3,3,5,3,5,5,5,5,5,5,5,341
"130","4404","Female","IGCSE (British)",4,3,2,5,5,4,2,2,2,4,5,3,5,2,3,4,5,5,5,330
"131","4410","Female","IGCSE (British)",4,3,4,5,5,2,2,2,2,3,3,2,4,2,4,4,3,4,4,324
"132","4411","Female","IGCSE (British)",3,3,3,5,4,1,1,1,1,1,1,1,3,1,3,1,3,3,3,306
"133","4406","Male","IGCSE (British)",4,5,5,4,5,4,5,4,4,3,4,2,NA,4,4,4,3,5,5,340
"134","4400","Female","IGCSE (British)",4,4,4,5,3,3,1,1,1,1,2,5,4,4,3,3,4,4,5,329
"135","4396","Female","IGCSE (British)",4,5,5,5,5,2,2,1,1,1,2,3,3,2,4,4,5,4,5,333
"136","4407","Male","IGCSE (British)",5,5,4,5,5,2,2,1,2,1,3,3,5,5,5,4,4,5,5,343
"137","4399","Male","IGCSE (British)",3,4,4,5,5,4,4,2,2,3,2,2,4,4,4,3,5,5,4,343
"138","4413","Female","IGCSE (British)",2,3,4,4,5,1,1,1,1,2,3,1,5,2,4,4,5,4,4,332
"139","4401","Male","IGCSE (British)",4,5,4,5,5,2,3,2,1,4,5,4,5,1,4,4,5,5,5,351
"140","4397","Female","IGCSE (British)",5,5,5,5,4,2,1,1,1,1,2,2,5,2,4,3,5,5,4,342
"141","4416","Female","IGCSE (British)",5,5,5,5,5,2,1,1,1,1,2,1,3,2,4,4,5,4,4,342
"142","4429","Female","IGCSE (British)",4,5,4,5,5,3,3,2,1,2,3,2,1,1,4,4,5,4,4,346
"143","4442","Female","IGCSE (British)",5,5,5,5,5,3,3,3,1,1,5,1,5,1,5,3,5,5,5,357
"144","4428","Male","IGCSE (British)",3,4,4,5,4,4,4,4,4,4,5,4,5,4,4,3,3,3,3,362
"145","4424","Male","IGCSE (British)",5,4,5,5,5,3,4,3,2,3,4,1,3,2,3,5,5,5,5,362
"146","4433","Male","IGCSE (British)",5,5,5,5,5,1,1,1,1,1,5,3,4,1,4,5,5,4,5,358
"147","4283F","Female","IGCSE (British)",5,5,5,5,5,3,3,2,1,1,3,1,1,1,3,3,2,2,2,347
"148","4423","Male","IGCSE (British)",5,5,5,5,5,3,2,1,2,2,5,2,3,2,3,3,5,5,5,364
"149","4436","Female","IGCSE (British)",4,5,3,5,5,2,1,1,1,1,3,3,2,3,4,4,4,5,5,359
"150","4430","Female","IGCSE (British)",4,5,5,5,5,1,1,3,1,1,4,2,4,1,5,5,5,5,5,367
"151","4431","Female","IGCSE (British)",4,3,3,2,4,1,1,1,1,1,1,1,1,1,2,1,4,5,3,342
"152","4441","Female","IGCSE (British)",3,4,4,3,4,1,3,3,3,3,4,3,3,3,3,2,3,4,3,363
"153","4437","Female","IGCSE (British)",5,3,3,5,5,2,2,1,2,2,3,3,2,1,3,3,3,5,5,364
"154","4434","Female","IGCSE (British)",5,3,3,4,5,2,2,2,1,1,3,1,3,2,2,2,3,2,3,357
"155","4427","Female","IGCSE (British)",5,5,3,5,5,3,3,3,3,1,5,5,5,5,5,5,3,5,5,389
"156","4426","Female","IGCSE (British)",5,5,4,5,5,2,1,1,1,1,2,1,2,1,4,4,4,5,4,369
"157","4440","Male","IGCSE (British)",2,3,4,2,5,1,1,1,1,1,3,2,4,1,5,2,5,3,3,363
"158","4446","Male","IGCSE (British)",5,4,5,5,5,3,3,4,3,4,5,1,3,4,1,3,3,5,3,385
"159","4432","Female","IGCSE (British)",4,5,3,4,3,2,1,3,1,2,3,2,3,3,3,2,4,3,2,371
"160","4438","Female","IGCSE (British)",4,4,4,5,5,1,1,1,1,1,1,1,1,1,2,1,4,3,4,365
"161","4449","Female","American Diploma",5,3,5,5,5,2,2,2,4,4,2,2,4,5,5,5,5,5,5,397
"162","4435","Female","IB",3,2,5,4,3,2,1,3,2,1,3,2,3,1,4,3,2,3,3,374
"163","4448","Female","IB",4,5,5,5,3,2,1,2,3,3,3,1,3,1,4,3,5,5,5,389
"164","4455","Female","American Diploma",2,2,3,4,5,1,1,1,1,1,1,1,1,4,4,2,4,5,4,375
"165","4451","Female","American Diploma",5,5,5,5,5,2,1,3,1,1,3,2,3,5,5,5,5,5,5,401
"166","4447","Female","American Diploma",5,5,5,5,5,3,2,2,2,2,5,3,5,5,3,3,5,5,5,407
"167","4459","Female","American Diploma",4,4,3,5,5,1,1,1,1,1,2,4,3,3,5,5,5,5,5,397
"168","4457","Female","American Diploma",3,4,5,4,5,4,4,3,2,2,4,4,3,4,4,3,5,4,4,407
"169","4456","Female","American Diploma",4,4,4,5,4,2,3,2,2,2,3,2,3,3,4,4,4,5,3,401
"170","4454","Female","IB",5,1,3,3,3,1,3,3,1,1,4,1,1,3,3,5,3,5,3,392
"171","4458","Female","IB",4,5,3,5,3,4,3,2,2,2,5,1,5,4,5,4,5,5,5,414
"172","4460","Female","American Diploma",5,4,5,5,5,2,2,1,2,1,3,2,2,2,3,3,4,5,4,404
"173","4450","Female","American Diploma",3,4,3,5,5,3,3,3,2,2,3,4,4,4,4,4,4,4,4,414
"174","4453","Female","American Diploma",2,3,4,4,2,1,1,1,3,3,1,1,1,1,3,4,4,4,4,395
"175","4452","Female","IB",5,5,5,4,5,1,5,1,1,1,1,1,3,1,5,5,5,5,5,414
"176","4239","Male","American Diploma",3,3,5,5,5,3,1,1,1,2,4,2,5,3,5,5,4,4,4,417
"177","4408","Female","IGCSE (British)",3,4,3,5,3,2,2,1,1,1,1,1,2,2,3,4,5,4,4,405
"178","4490","Male","IGCSE (British)",4,3,5,4,3,4,1,3,1,1,5,2,4,5,5,5,5,5,5,426
"179","4465","Male","IGCSE (British)",4,5,3,5,4,3,3,2,1,3,5,4,5,5,4,3,5,5,4,431
"180","4467","Male","IGCSE (British)",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,455
"181","4472","Female","IGCSE (British)",1,1,1,5,3,3,1,1,1,1,3,1,5,1,3,5,4,3,1,406
"182","4507","Male","IGCSE (British)",5,5,5,5,5,2,2,2,2,3,4,3,5,3,5,5,5,5,5,440
"183","4518","Female","IGCSE (British)",2,2,2,4,3,1,1,1,1,1,2,2,1,2,4,3,5,4,4,411
"184","4503","Female","IGCSE (British)",5,3,5,3,5,3,1,3,3,1,3,1,3,5,5,5,5,3,3,433
"185","4479","Female","IGCSE (British)",5,5,5,5,5,5,5,3,5,5,5,3,5,5,3,3,5,5,5,457
"186","4524","Female","IGCSE (British)",3,5,5,5,3,1,1,1,1,1,3,2,1,1,5,3,5,5,3,426
"187","4485","Male","IGCSE (British)",5,5,4,5,3,5,5,5,4,5,5,4,5,5,3,5,5,4,5,461
"188","4476","Female","IGCSE (British)",4,5,5,5,5,3,1,2,2,5,5,2,5,1,4,5,5,5,5,450
"189","4483","Male","IGCSE (British)",4,4,5,4,4,3,4,4,5,5,5,4,5,4,4,3,5,5,5,460
"190","4510","Male","IGCSE (British)",4,5,3,4,4,3,3,4,1,1,3,1,3,1,4,3,4,4,3,438
"191","4482","Female","IGCSE (British)",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,477
"192","4520","Female","IGCSE (British)",3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,390
"193","4498","Female","IGCSE (British)",5,4,4,5,5,2,2,2,2,1,5,5,3,3,4,5,5,5,5,458
"194","4500","Female","IGCSE (British)",3,4,4,5,5,2,3,2,2,2,5,1,5,1,4,3,2,4,4,449
"195","4513","Female","IGCSE (British)",5,5,5,5,5,1,1,2,2,2,3,2,3,3,4,4,4,5,4,455
"196","4484","Male","IGCSE (British)",3,3,4,4,5,1,2,1,2,4,5,1,5,5,4,3,3,4,4,455
