,X,ID,Gender,Certificate,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19
176,176,4239,Male,American Diploma,3,3,5,5,5,3,1,1,1,2,4,2,5,3,5,5,4,4,4
177,177,4408,Female,IGCSE (British),3,4,3,5,3,2,2,1,1,1,1,1,2,2,3,4,5,4,4
178,178,4490,Male,IGCSE (British),4,3,5,4,3,4,1,3,1,1,5,2,4,5,5,5,5,5,5
179,179,4465,Male,IGCSE (British),4,5,3,5,4,3,3,2,1,3,5,4,5,5,4,3,5,5,4
180,180,4467,Male,IGCSE (British),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
181,181,4472,Female,IGCSE (British),1,1,1,5,3,3,1,1,1,1,3,1,5,1,3,5,4,3,1
182,182,4507,Male,IGCSE (British),5,5,5,5,5,2,2,2,2,3,4,3,5,3,5,5,5,5,5
183,183,4518,Female,IGCSE (British),2,2,2,4,3,1,1,1,1,1,2,2,1,2,4,3,5,4,4
184,184,4503,Female,IGCSE (British),5,3,5,3,5,3,1,3,3,1,3,1,3,5,5,5,5,3,3
185,185,4479,Female,IGCSE (British),5,5,5,5,5,5,5,3,5,5,5,3,5,5,3,3,5,5,5
186,186,4524,Female,IGCSE (British),3,5,5,5,3,1,1,1,1,1,3,2,1,1,5,3,5,5,3
187,187,4485,Male,IGCSE (British),5,5,4,5,3,5,5,5,4,5,5,4,5,5,3,5,5,4,5
188,188,4476,Female,IGCSE (British),4,5,5,5,5,3,1,2,2,5,5,2,5,1,4,5,5,5,5
189,189,4483,Male,IGCSE (British),4,4,5,4,4,3,4,4,5,5,5,4,5,4,4,3,5,5,5
190,190,4510,Male,IGCSE (British),4,5,3,4,4,3,3,4,1,1,3,1,3,1,4,3,4,4,3
191,191,4482,Female,IGCSE (British),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
192,192,4520,Female,IGCSE (British),3,3,,,,,,,,,,,,,,,,,
193,193,4498,Female,IGCSE (British),5,4,4,5,5,2,2,2,2,1,5,5,3,3,4,5,5,5,5
194,194,4500,Female,IGCSE (British),3,4,4,5,5,2,3,2,2,2,5,1,5,1,4,3,2,4,4
195,195,4513,Female,IGCSE (British),5,5,5,5,5,1,1,2,2,2,3,2,3,3,4,4,4,5,4
196,196,4484,Male,IGCSE (British),3,3,4,4,5,1,2,1,2,4,5,1,5,5,4,3,3,4,4
197,197,4492,Female,IGCSE (British),5,5,5,5,5,3,1,3,2,1,5,1,5,5,5,5,5,5,5
198,198,4522,Female,IGCSE (British),5,5,3,3,5,3,3,5,3,5,3,1,5,3,5,5,5,5,3
199,199,4461,Male,IGCSE (British),5,1,1,3,5,5,5,4,4,4,4,4,4,4,5,5,5,5,5
200,200,4494,Female,IGCSE (British),5,4,5,4,5,5,5,5,5,4,5,3,5,2,4,5,5,5,5
201,201,4514,Female,IGCSE (British),5,5,5,5,5,5,5,5,4,5,5,5,5,4,4,5,5,4,5
202,202,4517,Female,IGCSE (British),4,4,3,5,3,3,3,2,3,3,5,4,5,4,3,3,4,4,4
203,203,4515,Female,IGCSE (British),5,5,5,5,5,1,1,1,1,1,4,3,4,2,3,4,4,4,4
204,204,4488,Male,IGCSE (British),5,5,3,5,5,5,3,3,5,5,5,3,5,5,5,5,5,5,5
205,205,4478,Female,IGCSE (British),5,5,4,5,5,1,1,1,5,4,5,3,5,5,5,4,5,5,5
206,206,4502,Female,IGCSE (British),3,4,3,5,5,3,3,3,3,1,5,3,5,4,3,3,3,5,3
207,207,4521,Male,IGCSE (British),5,4,4,5,5,5,4,4,2,2,5,3,5,3,4,4,5,4,5
208,208,4509,Male,IGCSE (British),5,5,4,5,5,1,1,3,1,1,1,3,2,5,4,4,5,4,5
209,209,4501,Female,IGCSE (British),3,4,4,5,5,2,2,1,1,1,3,3,4,1,2,2,4,3,3
210,210,4499,Female,IGCSE (British),5,5,4,5,4,3,2,2,2,2,3,3,3,2,3,3,4,5,4
211,211,4505,Male,IB,5,5,5,5,5,5,5,3,5,5,5,1,5,5,5,5,5,5,5
212,212,4495,Female,IGCSE (British),3,5,5,5,5,5,5,3,5,5,5,5,5,3,5,3,5,5,5
213,213,4344,Female,American Diploma,3,5,5,5,4,2,1,1,1,1,4,1,1,5,5,5,5,5,5
214,214,4292BM,Male,IGCSE (British),3,5,4,3,5,2,2,2,1,1,1,1,1,1,3,3,3,4,3
215,215,4279,Male,IGCSE (British),5,5,5,5,5,4,4,2,2,2,5,4,4,4,4,4,5,5,5
216,216,4341,Male,National,3,5,3,5,5,1,1,1,3,1,5,5,5,5,3,5,5,5,5
217,217,4279,Female,IGCSE (British),4,5,5,5,5,4,3,4,5,4,5,4,5,5,5,5,5,5,5
218,218,4281,Female,IGCSE (British),5,5,4,5,5,3,2,5,5,2,5,5,5,5,3,3,4,3,4
219,219,4245,Female,IGCSE (British),4,5,5,5,5,3,4,1,1,1,5,3,5,4,4,5,5,5,5
220,220,4335,Female,IGCSE (British),4,3,5,3,4,4,3,3,3,3,5,4,5,4,4,4,3,3,3
221,221,4326,Male,IGCSE (British),5,5,3,5,5,1,1,1,1,1,5,1,3,1,4,4,5,5,4
222,222,4334,Male,IGCSE (British),1,2,3,1,1,3,2,2,3,2,2,4,3,3,3,2,4,5,5
223,223,4370,Male,IB,1,1,1,3,2,1,1,1,3,1,4,1,3,5,2,1,2,5,4
224,224,4360,Male,American Diploma,1,3,3,5,3,1,1,1,3,3,5,5,5,3,1,3,5,5,5
225,225,4345,Male,National,5,5,3,5,5,1,3,1,1,1,1,1,3,1,3,1,5,5,5
226,226,4350,Male,IB,3,5,4,3,4,3,2,3,2,2,5,3,5,3,3,3,2,4,4
227,227,4463,Male,IGCSE (British),5,5,3,5,5,1,1,1,1,1,1,1,3,1,,5,5,5,5
228,228,4562,Female,IGCSE (British),4,4,4,4,4,4,3,1,3,4,4,4,4,4,4,4,4,4,4
229,229,4563,Male,IGCSE (British),5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
230,230,4564,Male,IGCSE (British),4,5,5,4,4,4,4,4,2,2,3,1,2,1,4,5,5,5,5
231,231,4537,Male,IGCSE (British),3,3,5,5,5,5,5,3,1,1,3,1,1,3,3,5,5,3,3
232,232,4558,Male,IGCSE (British),5,3,4,5,5,4,5,3,1,1,3,1,2,3,3,5,5,5,4
233,233,4550,Female,IGCSE (British),5,5,4,5,5,3,3,2,1,2,4,4,5,4,4,3,5,5,5
234,234,4573,Female,IGCSE (British),1,3,3,3,5,5,5,5,5,5,5,5,5,5,1,1,3,1,3
235,235,4536,Male,IGCSE (British),3,4,3,5,4,1,1,1,1,1,1,1,1,1,3,3,4,4,4
236,236,4571,Female,IGCSE (British),3,3,5,5,5,5,5,3,5,5,5,5,3,5,3,3,5,5,5
237,237,4571,Female,IGCSE (British),1,2,2,4,4,2,1,1,2,2,3,2,3,3,2,3,3,2,3
238,238,4566,Male,IGCSE (British),4,4,5,5,5,2,1,2,2,1,2,2,3,1,3,3,4,5,5
239,239,4546,Male,IGCSE (British),3,4,5,5,4,1,3,1,1,1,4,1,4,2,4,4,4,4,5
240,240,4554,Female,IGCSE (British),5,5,5,5,5,1,1,1,1,1,5,5,3,5,5,5,5,5,5
241,241,4535,Female,IGCSE (British),5,5,5,5,5,3,2,3,2,3,3,2,3,1,5,3,3,5,3
242,242,4553,Male,IGCSE (British),4,5,5,4,5,1,3,1,2,1,3,1,2,2,5,3,5,5,4
243,243,4540,Male,IGCSE (British),3,5,5,5,3,1,1,1,1,1,1,1,1,1,5,5,5,5,5
244,244,4358F,Female,IGCSE (British),5,5,4,5,5,3,3,2,3,2,4,2,3,1,4,4,5,5,5
245,245,4572,Female,IGCSE (British),4,5,5,5,3,1,2,1,1,1,5,1,1,1,3,2,5,5,5
246,246,4549,Female,IGCSE (British),4,5,4,3,4,3,2,2,4,3,3,4,3,2,3,3,5,4,5
247,247,4568,Male,IGCSE (British),4,4,5,5,4,1,1,1,1,1,3,1,2,3,4,4,4,5,5
248,248,4543,Male,IGCSE (British),5,5,5,5,5,5,4,4,4,5,5,1,5,3,5,5,5,5,5
249,249,4569,Female,IGCSE (British),3,5,3,3,3,1,1,1,1,1,3,1,1,1,1,1,3,3,2
